Id,Name,Department,Salary,HireDate,Email,PhoneNumber,Position,YearsOfExperience,EducationLevel,PerformanceRating,ProjectsCompleted,BonusPercentage,EmergencyContact,ManagerId,Cruzo,Nodos
2,Jane Smith,Marketing,5500050,2019-11-01,jane.smith@company.com,555-0102,Marketing Specialist,7,Master's,Excellent,12,55,Emergency Contact 2,M001,True,"[{""Id"":""2"",""Name"":""Jane Smith"",""Department"":""Marketing"",""Salary"":5500050,""HireDate"":""2019-11-01"",""Email"":""jane.smith@company.com"",""PhoneNumber"":""555-0102"",""Position"":""Marketing Specialist"",""YearsOfExperience"":7,""EducationLevel"":""Master\u0027s"",""PerformanceRating"":null,""ProjectsCompleted"":null,""BonusPercentage"":null,""EmergencyContact"":null,""ManagerId"":null},{""Id"":""2"",""Name"":""Jane Smith"",""Department"":""Marketing"",""Salary"":5500050,""HireDate"":null,""Email"":null,""PhoneNumber"":null,""Position"":null,""YearsOfExperience"":null,""EducationLevel"":null,""PerformanceRating"":""Excellent"",""ProjectsCompleted"":12,""BonusPercentage"":55,""EmergencyContact"":""Emergency Contact 2"",""ManagerId"":""M001""}]"
3,Bob Johnson,IT,6000075,2021-03-10,bob.johnson@company.com,555-0103,Software Developer,3,Bachelor's,Good,8,30,Emergency Contact 3,M002,True,"[{""Id"":""3"",""Name"":""Bob Johnson"",""Department"":""IT"",""Salary"":6000075,""HireDate"":""2021-03-10"",""Email"":""bob.johnson@company.com"",""PhoneNumber"":""555-0103"",""Position"":""Software Developer"",""YearsOfExperience"":3,""EducationLevel"":""Bachelor\u0027s"",""PerformanceRating"":null,""ProjectsCompleted"":null,""BonusPercentage"":null,""EmergencyContact"":null,""ManagerId"":null},{""Id"":""3"",""Name"":""Bob Johnson"",""Department"":""IT"",""Salary"":6000075,""HireDate"":null,""Email"":null,""PhoneNumber"":null,""Position"":null,""YearsOfExperience"":null,""EducationLevel"":null,""PerformanceRating"":""Good"",""ProjectsCompleted"":8,""BonusPercentage"":30,""EmergencyContact"":""Emergency Contact 3"",""ManagerId"":""M002""}]"
5,Charlie Davis,Finance,5800000,2022-01-05,charlie.davis@company.com,555-0105,Financial Analyst,2,Master's,Outstanding,15,70,Emergency Contact 5,M003,True,"[{""Id"":""5"",""Name"":""Charlie Davis"",""Department"":""Finance"",""Salary"":5800000,""HireDate"":""2022-01-05"",""Email"":""charlie.davis@company.com"",""PhoneNumber"":""555-0105"",""Position"":""Financial Analyst"",""YearsOfExperience"":2,""EducationLevel"":""Master\u0027s"",""PerformanceRating"":null,""ProjectsCompleted"":null,""BonusPercentage"":null,""EmergencyContact"":null,""ManagerId"":null},{""Id"":""5"",""Name"":""Charlie Davis"",""Department"":""Finance"",""Salary"":5800000,""HireDate"":null,""Email"":null,""PhoneNumber"":null,""Position"":null,""YearsOfExperience"":null,""EducationLevel"":null,""PerformanceRating"":""Outstanding"",""ProjectsCompleted"":15,""BonusPercentage"":70,""EmergencyContact"":""Emergency Contact 5"",""ManagerId"":""M003""}]"
6,Eva White,Marketing,5100000,,,,,,,Good,10,35,Emergency Contact 6,M001,False,"[{""Id"":""6"",""Name"":""Eva White"",""Department"":""Marketing"",""Salary"":5100000,""HireDate"":null,""Email"":null,""PhoneNumber"":null,""Position"":null,""YearsOfExperience"":null,""EducationLevel"":null,""PerformanceRating"":""Good"",""ProjectsCompleted"":10,""BonusPercentage"":35,""EmergencyContact"":""Emergency Contact 6"",""ManagerId"":""M001""}]"
8,Grace Lee,HR,5300025,,,,,,,Excellent,11,50,Emergency Contact 8,M004,False,"[{""Id"":""8"",""Name"":""Grace Lee"",""Department"":""HR"",""Salary"":5300025,""HireDate"":null,""Email"":null,""PhoneNumber"":null,""Position"":null,""YearsOfExperience"":null,""EducationLevel"":null,""PerformanceRating"":""Excellent"",""ProjectsCompleted"":11,""BonusPercentage"":50,""EmergencyContact"":""Emergency Contact 8"",""ManagerId"":""M004""}]"
9,Henry Clark,Sales,5250075,,,,,,,Good,9,32,Emergency Contact 9,M005,False,"[{""Id"":""9"",""Name"":""Henry Clark"",""Department"":""Sales"",""Salary"":5250075,""HireDate"":null,""Email"":null,""PhoneNumber"":null,""Position"":null,""YearsOfExperience"":null,""EducationLevel"":null,""PerformanceRating"":""Good"",""ProjectsCompleted"":9,""BonusPercentage"":32,""EmergencyContact"":""Emergency Contact 9"",""ManagerId"":""M005""}]"
10,Ivy Green,IT,6100000,,,,,,,Outstanding,14,65,Emergency Contact 10,M002,False,"[{""Id"":""10"",""Name"":""Ivy Green"",""Department"":""IT"",""Salary"":6100000,""HireDate"":null,""Email"":null,""PhoneNumber"":null,""Position"":null,""YearsOfExperience"":null,""EducationLevel"":null,""PerformanceRating"":""Outstanding"",""ProjectsCompleted"":14,""BonusPercentage"":65,""EmergencyContact"":""Emergency Contact 10"",""ManagerId"":""M002""}]"
1,John Doe,Sales,5000000,2020-01-15,john.doe@company.com,555-0101,Sales Representative,5,Bachelor's,,,,,,False,"[{""Id"":""1"",""Name"":""John Doe"",""Department"":""Sales"",""Salary"":5000000,""HireDate"":""2020-01-15"",""Email"":""john.doe@company.com"",""PhoneNumber"":""555-0101"",""Position"":""Sales Representative"",""YearsOfExperience"":5,""EducationLevel"":""Bachelor\u0027s"",""PerformanceRating"":null,""ProjectsCompleted"":null,""BonusPercentage"":null,""EmergencyContact"":null,""ManagerId"":null}]"
4,Alice Brown,HR,5200025,2020-06-22,alice.brown@company.com,555-0104,HR Coordinator,4,Bachelor's,,,,,,False,"[{""Id"":""4"",""Name"":""Alice Brown"",""Department"":""HR"",""Salary"":5200025,""HireDate"":""2020-06-22"",""Email"":""alice.brown@company.com"",""PhoneNumber"":""555-0104"",""Position"":""HR Coordinator"",""YearsOfExperience"":4,""EducationLevel"":""Bachelor\u0027s"",""PerformanceRating"":null,""ProjectsCompleted"":null,""BonusPercentage"":null,""EmergencyContact"":null,""ManagerId"":null}]"
6,Eva White,Sales,5100000,2021-09-30,eva.white@company.com,555-0106,Sales Manager,8,Bachelor's,,,,,,False,"[{""Id"":""6"",""Name"":""Eva White"",""Department"":""Sales"",""Salary"":5100000,""HireDate"":""2021-09-30"",""Email"":""eva.white@company.com"",""PhoneNumber"":""555-0106"",""Position"":""Sales Manager"",""YearsOfExperience"":8,""EducationLevel"":""Bachelor\u0027s"",""PerformanceRating"":null,""ProjectsCompleted"":null,""BonusPercentage"":null,""EmergencyContact"":null,""ManagerId"":null}]"
